possession_difference,shot_difference,attendance,outcome
19.0,17,52233,Home Win
13.0,15,23534,Draw
38.0,8,53274,Away Win
8.799999999999997,15,62447,Home Win
-9.799999999999997,7,41693,Home Win
14.400000000000006,3,36447,Away Win
-18.599999999999994,-2,31145,Draw
21.799999999999997,16,31425,Away Win
4.799999999999997,4,61726,Away Win
-50.400000000000006,-5,29245,Home Win
-8.400000000000006,0,38939,Home Win
-3.200000000000003,2,53223,Home Win
-4.200000000000003,-7,39503,Draw
20.799999999999997,6,23508,Home Win
-6.400000000000006,-9,30814,Home Win
7.0,6,10405,Away Win
-32.599999999999994,-6,17118,Draw
7.599999999999994,14,53346,Home Win
-0.4000000000000057,15,52247,Home Win
3.799999999999997,19,73677,Home Win
40.599999999999994,16,31463,Draw
2.5999999999999943,4,25125,Home Win
-17.799999999999997,10,41754,Away Win
-6.0,7,36700,Away Win
26.0,6,73726,Draw
-21.799999999999997,-15,29159,Draw
-26.400000000000006,-3,53286,Home Win
6.200000000000003,6,31298,Draw
37.800000000000004,9,22913,Draw
16.0,-1,31554,Home Win
23.0,17,61812,Home Win
-45.0,-14,17016,Home Win
-20.200000000000003,-6,29208,Draw
9.0,3,25042,Home Win
0.5999999999999943,9,62454,Home Win
-12.0,3,59968,Home Win
-20.599999999999994,-1,39258,Away Win
-11.599999999999994,1,10272,Home Win
14.799999999999997,12,39940,Home Win
30.400000000000006,16,53365,Home Win
8.799999999999997,10,52067,Home Win
17.799999999999997,6,31498,Away Win
3.200000000000003,7,32202,Home Win
7.799999999999997,10,53475,Home Win
-12.400000000000006,-13,36582,Draw
29.400000000000006,15,60278,Home Win
-16.0,-6,10126,Draw
-28.0,-6,25198,Away Win
-36.599999999999994,-16,22913,Away Win
7.599999999999994,9,53320,Draw
8.400000000000006,10,30510,Away Win
-21.799999999999997,3,62444,Home Win
-27.799999999999997,-8,17122,Away Win
7.200000000000003,-7,39298,Home Win
-18.400000000000006,-10,31578,Away Win
44.800000000000004,10,52238,Draw
-12.599999999999994,-3,61450,Home Win
5.400000000000006,4,40758,Home Win
-18.400000000000006,-4,28654,Away Win
7.0,17,31185,Home Win
-21.0,-6,73431,Home Win
-21.799999999999997,-9,39240,Draw
36.199999999999996,2,39923,Home Win
3.4000000000000057,4,51863,Draw
5.400000000000006,3,28720,Away Win
3.799999999999997,14,61641,Home Win
1.5999999999999943,-5,30546,Home Win
-44.599999999999994,-10,41830,Draw
7.799999999999997,1,32226,Away Win
17.799999999999997,18,60012,Home Win
-31.800000000000004,-12,10113,Draw
49.800000000000004,9,53409,Home Win
-23.400000000000006,2,62450,Draw
43.599999999999994,18,53316,Home Win
-2.200000000000003,4,25043,Draw
-21.799999999999997,3,22224,Home Win
38.199999999999996,7,36338,Draw
15.599999999999994,2,41796,Away Win
-27.799999999999997,-11,31311,Draw
10.599999999999994,-1,29296,Away Win
-3.4000000000000057,6,31196,Away Win
15.599999999999994,6,17009,Draw
-14.400000000000006,3,30953,Home Win
-9.799999999999997,-10,39953,Home Win
38.800000000000004,14,53328,Home Win
48.599999999999994,16,53112,Home Win
44.0,11,60164,Home Win
-21.799999999999997,-2,36372,Home Win
-0.7999999999999972,2,62449,Away Win
-37.400000000000006,-9,52258,Draw
-0.20000000000000284,-9,61298,Home Win
1.5999999999999943,4,22012,Home Win
-3.4000000000000057,5,39271,Draw
-12.599999999999994,5,21798,Home Win
24.0,-3,30850,Away Win
-16.400000000000006,-8,10423,Away Win
45.199999999999996,17,52970,Draw
-13.599999999999994,-6,29281,Home Win
27.400000000000006,6,39946,Draw
15.0,-3,41883,Home Win
-0.20000000000000284,13,60033,Home Win
9.0,9,31552,Draw
33.400000000000006,16,53453,Home Win
-14.799999999999997,1,30815,Draw
19.200000000000003,-2,31178,Draw
-33.400000000000006,-2,17051,Home Win
10.799999999999997,6,31794,Draw
25.799999999999997,2,73711,Away Win
-50.800000000000004,-8,62443,Away Win
-33.800000000000004,-2,25000,Draw
-31.199999999999996,-8,10000,Home Win
-19.799999999999997,-3,36347,Home Win
22.799999999999997,18,52245,Home Win
15.0,8,61732,Home Win
-25.400000000000006,-7,39254,Away Win
12.599999999999994,0,25286,Away Win
